time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-12 00:00:00+00:00,39,11,1,1
2026-05-13 00:00:00+00:00,3,3,5,2
2026-05-14 00:00:00+00:00,11,6,8,5
2026-05-15 00:00:00+00:00,20,10,4,3
2026-05-16 00:00:00+00:00,9,4,3,3
2026-05-17 00:00:00+00:00,29,8,22,7
2026-05-18 00:00:00+00:00,5,3,11,5
2026-05-19 00:00:00+00:00,32,9,21,6
2026-05-20 00:00:00+00:00,20,4,16,1
2026-05-21 00:00:00+00:00,27,9,14,4
2026-05-22 00:00:00+00:00,5,4,6,5
2026-05-23 00:00:00+00:00,31,13,3,3
2026-05-24 00:00:00+00:00,15,6,2,1
2026-05-25 00:00:00+00:00,2,2,11,3
