url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,52,31
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,42,20
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,22,13
/Ladbaby/PowerPlanSwitcher/releases,11,9
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,8,7
/Ladbaby/PowerPlanSwitcher/tree/master,4,3
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,3,3
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/vbs,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/.github/workflows/github-repo-stats.yml,1,1
