time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,0,0,15,6
2026-03-09 00:00:00+00:00,0,0,8,4
2026-03-10 00:00:00+00:00,0,0,11,4
2026-03-11 00:00:00+00:00,1,1,15,7
2026-03-12 00:00:00+00:00,0,0,6,2
2026-03-13 00:00:00+00:00,1,1,7,4
2026-03-14 00:00:00+00:00,0,0,8,4
2026-03-15 00:00:00+00:00,0,0,12,9
2026-03-16 00:00:00+00:00,2,2,17,6
2026-03-17 00:00:00+00:00,0,0,5,3
2026-03-18 00:00:00+00:00,1,1,4,2
2026-03-19 00:00:00+00:00,0,0,9,6
2026-03-20 00:00:00+00:00,2,2,1,1
2026-03-21 00:00:00+00:00,1,1,8,5
2026-03-22 00:00:00+00:00,11,9,14,4
2026-03-23 00:00:00+00:00,12,8,8,6
2026-03-24 00:00:00+00:00,8,4,8,3
2026-03-25 00:00:00+00:00,15,6,8,5
2026-03-26 00:00:00+00:00,10,5,4,3
2026-03-27 00:00:00+00:00,3,2,10,2
2026-03-28 00:00:00+00:00,8,4,6,2
2026-03-29 00:00:00+00:00,21,8,11,7
2026-03-30 00:00:00+00:00,10,6,1,1
2026-03-31 00:00:00+00:00,21,11,3,2
2026-04-01 00:00:00+00:00,12,6,4,4
2026-04-02 00:00:00+00:00,12,7,21,4
2026-04-03 00:00:00+00:00,9,7,10,4
2026-04-04 00:00:00+00:00,18,9,2,2
2026-04-05 00:00:00+00:00,1,1,3,2
2026-04-06 00:00:00+00:00,3,3,16,8
2026-04-07 00:00:00+00:00,10,8,5,3
2026-04-08 00:00:00+00:00,12,5,10,4
2026-04-09 00:00:00+00:00,19,6,25,7
2026-04-10 00:00:00+00:00,34,12,10,7
2026-04-11 00:00:00+00:00,43,15,8,7
